tweet_id,tweet_text,comentario,comentario_autor,fecha_publicacion,timestamp_extraccion,replies,reposts,likes,views
id_Las_Instituciones_nacen_o_se_c,'Las Instituciones nacen o se construyen?',Cómo destruyen las instituciones…,Gerardo @soyelgerardo · 21h,2025-07-29T15:16:20.000Z,2025-07-30T07:45:28.617881,0,0,0,0
id_Las_Instituciones_nacen_o_se_c,'Las Instituciones nacen o se construyen?',Mucha inauguración; pero sin atención; en magdalena de las salinas no han podido operar a la sra Adriana Hernández desde el sábado. @Claudiashein @zoerobledo,Sofia Espinosa @SofiaEs65991005 · 20h,2025-07-29T15:57:31.000Z,2025-07-30T07:45:28.617881,0,0,0,0
id_Las_Instituciones_nacen_o_se_c,'Las Instituciones nacen o se construyen?',Se necesitan cambios en el IMSS; hay muchas fallas y malos tratos. Hay discriminación en trámites y todavía y aun así publican en sus instalaciones esto,Darth Vader @Balu07839778 · 19h,2025-07-29T17:06:10.000Z,2025-07-30T07:45:28.617881,0,0,0,0
id_Las_Instituciones_nacen_o_se_c,'Las Instituciones nacen o se construyen?',Las instituciones de cagada como el IMSS ?! Dónde no hay medicamentos; ni insumos y maltratan y explotan a sus residentes.,Arya @Arya_3713 · 21h,2025-07-29T15:27:55.000Z,2025-07-30T07:45:28.617881,0,0,0,0
id_Las_Instituciones_nacen_o_se_c,'Las Instituciones nacen o se construyen?',@zoerobledo,Maria Ostos @LaschwarzMaria · 20h,2025-07-29T16:02:21.000Z,2025-07-30T07:45:28.617881,0,0,0,0
id_Las_Instituciones_nacen_o_se_c,'Las Instituciones nacen o se construyen?',@RicardoBSalinas @NinfaSalinas @GobiernoMX @SATMX @SCJN @Claudiashein @zoerobledo,Maria Ostos @LaschwarzMaria · 20h,2025-07-29T16:03:52.000Z,2025-07-30T07:45:28.617881,0,0,0,0
id_Un_docente_conectado_puede_ins,'Un docente conectado puede inspirar a toda una comunidad. Gracias a los Centros Digitales de MinTIC y Claro; profesores en zonas rurales ahora tienen acceso a contenidos; capacitaciones virtuales y recursos para innovar en sus clases.',Pues que padre que pongan muchas cositas que hacen; pero seguimos sin medicamento oncológico,Edith Rico Arriaga @RicoArriag24132 · 16h,2025-07-29T20:37:20.000Z,2025-07-30T07:45:36.542667,43,39,257,0
id_Un_docente_conectado_puede_ins,'Un docente conectado puede inspirar a toda una comunidad. Gracias a los Centros Digitales de MinTIC y Claro; profesores en zonas rurales ahora tienen acceso a contenidos; capacitaciones virtuales y recursos para innovar en sus clases.',Pues yo estoy esperando el envío a Veracruz para el especialista de oftalmo por qué se salió de su lugar mi lente interocular y nada,Pablo Perez @pabloperezf523 · 12h,2025-07-30T00:07:46.000Z,2025-07-30T07:45:36.542667,43,39,257,0
id_Un_docente_conectado_puede_ins,'Un docente conectado puede inspirar a toda una comunidad. Gracias a los Centros Digitales de MinTIC y Claro; profesores en zonas rurales ahora tienen acceso a contenidos; capacitaciones virtuales y recursos para innovar en sus clases.',Jefe de la mafia de extorsionadores; por cobros indebidos ya voy a cerrar mi negocio.,ruben conde @radioconde · 20h,2025-07-29T16:33:07.000Z,2025-07-30T07:45:36.542667,43,39,257,0
id_Un_docente_conectado_puede_ins,'Un docente conectado puede inspirar a toda una comunidad. Gracias a los Centros Digitales de MinTIC y Claro; profesores en zonas rurales ahora tienen acceso a contenidos; capacitaciones virtuales y recursos para innovar en sus clases.',¿Para cuándo el abasto de medicamentos? Para nunca; ¿verdad?,Gerardo Olatxea @mexgalo · 20h,2025-07-29T16:24:09.000Z,2025-07-30T07:45:36.542667,43,39,257,0
id_Un_docente_conectado_puede_ins,'Un docente conectado puede inspirar a toda una comunidad. Gracias a los Centros Digitales de MinTIC y Claro; profesores en zonas rurales ahora tienen acceso a contenidos; capacitaciones virtuales y recursos para innovar en sus clases.',Deberían de surtir de Tamsulosina a la clínica 27 no hay desde hace un mes y tengo que comprarla de mi propio peculio”,Mark Royamotos @sotom19787 · 14h,2025-07-29T22:06:11.000Z,2025-07-30T07:45:36.542667,43,39,257,0
id_Un_docente_conectado_puede_ins,'Un docente conectado puede inspirar a toda una comunidad. Gracias a los Centros Digitales de MinTIC y Claro; profesores en zonas rurales ahora tienen acceso a contenidos; capacitaciones virtuales y recursos para innovar en sus clases.',Dios mio !!!! No presuman de lo q carecen. No hay médicos. Mi familar tuvo q ser operada en un hospital particular. X falta de medicos y medicamento.,Jose Luis Ortiz @JLcanas · 16h,2025-07-29T20:00:13.000Z,2025-07-30T07:45:36.542667,43,39,257,0
id_Un_docente_conectado_puede_ins,'Un docente conectado puede inspirar a toda una comunidad. Gracias a los Centros Digitales de MinTIC y Claro; profesores en zonas rurales ahora tienen acceso a contenidos; capacitaciones virtuales y recursos para innovar en sus clases.',Bola de vividores de nuestros impuestos ; el sistema de salud como el país; al borde del colapso.,Edith Rico Arriaga @RicoArriag24132 · 16h,2025-07-29T20:38:26.000Z,2025-07-30T07:45:36.542667,43,39,257,0
id_Un_docente_conectado_puede_ins,'Un docente conectado puede inspirar a toda una comunidad. Gracias a los Centros Digitales de MinTIC y Claro; profesores en zonas rurales ahora tienen acceso a contenidos; capacitaciones virtuales y recursos para innovar en sus clases.',Puras mentiras; toda clínica; todo hospital se cae a pedazos; sin medicamentos en las farmacias; con un servicio pésimo; @zoerobledo es una porquería; un parásito,Dylandu @seresdylandu · 23h,2025-07-29T13:44:42.000Z,2025-07-30T07:45:36.542667,43,39,257,0
id_Un_docente_conectado_puede_ins,'Un docente conectado puede inspirar a toda una comunidad. Gracias a los Centros Digitales de MinTIC y Claro; profesores en zonas rurales ahora tienen acceso a contenidos; capacitaciones virtuales y recursos para innovar en sus clases.',Pura mierda cuatrera,yei @yeidifuentes · 21h,2025-07-29T15:12:46.000Z,2025-07-30T07:45:36.542667,43,39,257,0
id_Un_docente_conectado_puede_ins,'Un docente conectado puede inspirar a toda una comunidad. Gracias a los Centros Digitales de MinTIC y Claro; profesores en zonas rurales ahora tienen acceso a contenidos; capacitaciones virtuales y recursos para innovar en sus clases.',La ratota,George IV @GeorgeIV16 · 22h,2025-07-29T13:47:36.000Z,2025-07-30T07:45:36.542667,43,39,257,0
id_Un_docente_conectado_puede_ins,'Un docente conectado puede inspirar a toda una comunidad. Gracias a los Centros Digitales de MinTIC y Claro; profesores en zonas rurales ahora tienen acceso a contenidos; capacitaciones virtuales y recursos para innovar en sus clases.',@Claudiashein @zoerobledo @GobiernoMX Zoe Alejandro Robledo Aburto es el clásico parásito del sistema que cobra por no hacer nada y usa al Instituto para robar en contratos y adjudicaciónes directas; Asi el Gobierno de la cuarta transformación,Derechos Humanos México @DerHMex · 20h,2025-07-29T16:37:04.000Z,2025-07-30T07:45:36.542667,43,39,257,0
id_Un_docente_conectado_puede_ins,'Un docente conectado puede inspirar a toda una comunidad. Gracias a los Centros Digitales de MinTIC y Claro; profesores en zonas rurales ahora tienen acceso a contenidos; capacitaciones virtuales y recursos para innovar en sus clases.',¿Hoy van a mandar madrear doctores o van a atender sus demandas?,HHH01MX @HHH01mx · 20h,2025-07-29T15:55:30.000Z,2025-07-30T07:45:36.542667,43,39,257,0
